full_dp Group 1
22.000000 6.000000 0.173393
23.000000 6.000000 0.103183
24.000000 6.000000 0.204081
25.000000 6.000000 0.197137
26.000000 6.000000 0.117232
27.000000 6.000000 0.129152
28.000000 6.000000 0.158323
29.000000 6.000000 0.182697
30.000000 6.000000 0.203306
31.000000 6.000000 0.188449
0.000000 7.000000 0.166181
1.000000 7.000000 0.184801
2.000000 7.000000 0.231085
3.000000 7.000000 0.266579
4.000000 7.000000 0.242229
5.000000 7.000000 0.084326
6.000000 7.000000 0.273479
7.000000 7.000000 0.318004
8.000000 7.000000 0.245107
9.000000 7.000000 0.124404
10.000000 7.000000 0.234926
11.000000 7.000000 0.245638
12.000000 7.000000 0.221278
13.000000 7.000000 0.236230
14.000000 7.000000 0.306311
15.000000 7.000000 0.333228
16.000000 7.000000 0.315293
17.000000 7.000000 0.341083
18.000000 7.000000 0.362790
19.000000 7.000000 0.296939
20.000000 7.000000 0.133326
21.000000 7.000000 0.222182
22.000000 7.000000 0.216444
23.000000 7.000000 0.124852
24.000000 7.000000 0.177673
25.000000 7.000000 0.168699
26.000000 7.000000 0.158511
27.000000 7.000000 0.220073
28.000000 7.000000 0.193071
29.000000 7.000000 0.171138
30.000000 7.000000 0.234564
31.000000 7.000000 0.222416
0.000000 8.000000 0.169949
1.000000 8.000000 0.107423
2.000000 8.000000 0.212129
3.000000 8.000000 0.247022
4.000000 8.000000 0.209137
5.000000 8.000000 0.157411
6.000000 8.000000 0.275884
7.000000 8.000000 0.278674
8.000000 8.000000 0.188664
9.000000 8.000000 0.235827
10.000000 8.000000 0.243341
11.000000 8.000000 0.167660
12.000000 8.000000 0.241144
13.000000 8.000000 0.363448
14.000000 8.000000 0.436802
15.000000 8.000000 0.468553
16.000000 8.000000 0.502314
17.000000 8.000000 0.535743
18.000000 8.000000 0.514296
19.000000 8.000000 0.416594
20.000000 8.000000 0.287632
21.000000 8.000000 0.247138
22.000000 8.000000 0.235321
23.000000 8.000000 0.204266
24.000000 8.000000 0.186788
25.000000 8.000000 0.154788
26.000000 8.000000 0.186130
27.000000 8.000000 0.267406
28.000000 8.000000 0.234236
29.000000 8.000000 0.117992
30.000000 8.000000 0.244999
31.000000 8.000000 0.248364
0.000000 9.000000 0.202499
1.000000 9.000000 0.244177
2.000000 9.000000 0.327204
3.000000 9.000000 0.310445
4.000000 9.000000 0.210995
5.000000 9.000000 0.196923
6.000000 9.000000 0.271423
7.000000 9.000000 0.236893
8.000000 9.000000 0.074236
9.000000 9.000000 0.182017
10.000000 9.000000 0.192289
11.000000 9.000000 0.104786
12.000000 9.000000 0.253976
13.000000 9.000000 0.388345
14.000000 9.000000 0.451390
15.000000 9.000000 0.485590
16.000000 9.000000 0.534103
17.000000 9.000000 0.561534
18.000000 9.000000 0.526500
19.000000 9.000000 0.438162
20.000000 9.000000 0.364110
21.000000 9.000000 0.306831
22.000000 9.000000 0.215352
23.000000 9.000000 0.213424
